from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Inactivo_t1,3.3,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2021_t1-t2
Trab_familiar_tpost,Inactivo_t1,1.8,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2021_t1-t2
Ocupado_t0,Inactivo_t1,8.3,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2021_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,86.3,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2021_t2-t3
Ocupado_t0,Inactivo_t1,8.8,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2021_t2-t3
Desocupado_t0,Inactivo_t1,3.1,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2021_t2-t3
Trab_familiar_tpost,Inactivo_t1,1.8,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2021_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,88.4,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2021_t3-t4
Ocupado_t0,Inactivo_t1,7.7,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2021_t3-t4
Desocupado_t0,Inactivo_t1,2.6,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2021_t3-t4
Trab_familiar_tpost,Inactivo_t1,1.3,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2021_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Inactivo_t1,7.3,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2022_t1-t2
Inactivo_t0,Inactivo_t1,89.3,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2022_t1-t2
Trab_familiar_tpost,Inactivo_t1,1.3,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2022_t1-t2
Desocupado_t0,Inactivo_t1,2.1,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2022_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,87.9,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2022_t2-t3
Ocupado_t0,Inactivo_t1,8.1,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2022_t2-t3
Trab_familiar_tpost,Inactivo_t1,1.2,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2022_t2-t3
Desocupado_t0,Inactivo_t1,2.8,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2022_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,87.9,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2022_t3-t4
Ocupado_t0,Inactivo_t1,8.5,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2022_t3-t4
Trab_familiar_tpost,Inactivo_t1,1.2,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2022_t3-t4
Desocupado_t0,Inactivo_t1,2.4,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2022_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,88.2,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2023_t1-t2
Ocupado_t0,Inactivo_t1,8,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2023_t1-t2
Desocupado_t0,Inactivo_t1,2.4,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2023_t1-t2
Trab_familiar_tpost,Inactivo_t1,1.4,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2023_t1-t2
